Year,Indicator,ISO,Country,Breakdown,Unit of measure,Value
2012,Public spending on active labour market policies,GRC,Greece,Start-up incentives,Share of GDP,0.03
2013,Public spending on active labour market policies,GRC,Greece,Start-up incentives,Share of GDP,0.03
1993,Public spending on active labour market policies,GRC,Greece,Start-up incentives,Share of GDP,0.01
2000,Public spending on active labour market policies,GRC,Greece,Start-up incentives,Share of GDP,0.02
2002,Public spending on active labour market policies,GRC,Greece,Start-up incentives,Share of GDP,0.01
1992,Public spending on active labour market policies,GRC,Greece,Start-up incentives,Share of GDP,0.02
1995,Public spending on active labour market policies,GRC,Greece,Start-up incentives,Share of GDP,0.02
1996,Public spending on active labour market policies,GRC,Greece,Start-up incentives,Share of GDP,0.02
1997,Public spending on active labour market policies,GRC,Greece,Start-up incentives,Share of GDP,0.02
1994,Public spending on active labour market policies,GRC,Greece,Start-up incentives,Share of GDP,0.02
1989,Public spending on active labour market policies,GRC,Greece,Start-up incentives,Share of GDP,0.01
1990,Public spending on active labour market policies,GRC,Greece,Start-up incentives,Share of GDP,0.04
1986,Public spending on active labour market policies,GRC,Greece,Start-up incentives,Share of GDP,0
1987,Public spending on active labour market policies,GRC,Greece,Start-up incentives,Share of GDP,0.01
1991,Public spending on active labour market policies,GRC,Greece,Start-up incentives,Share of GDP,0.04
2015,Public spending on active labour market policies,GRC,Greece,Training,Share of GDP,0.04
2016,Public spending on active labour market policies,GRC,Greece,Training,Share of GDP,0.02
1988,Public spending on active labour market policies,GRC,Greece,Training,Share of GDP,0.04
2014,Public spending on active labour market policies,GRC,Greece,Training,Share of GDP,0.12
2020,Public spending on active labour market policies,GRC,Greece,Training,Share of GDP,0
1985,Public spending on active labour market policies,GRC,Greece,Training,Share of GDP,0.05
2021,Public spending on active labour market policies,GRC,Greece,Training,Share of GDP,0.01
2004,Public spending on active labour market policies,GRC,Greece,Training,Share of GDP,0.03
2005,Public spending on active labour market policies,GRC,Greece,Training,Share of GDP,0.04
2006,Public spending on active labour market policies,GRC,Greece,Training,Share of GDP,0.06
2001,Public spending on active labour market policies,GRC,Greece,Training,Share of GDP,0.03
2019,Public spending on active labour market policies,GRC,Greece,Training,Share of GDP,0.02
2007,Public spending on active labour market policies,GRC,Greece,Training,Share of GDP,0.06
2008,Public spending on active labour market policies,GRC,Greece,Training,Share of GDP,0.09
2009,Public spending on active labour market policies,GRC,Greece,Training,Share of GDP,0.02
2010,Public spending on active labour market policies,GRC,Greece,Training,Share of GDP,0.02
1998,Public spending on active labour market policies,GRC,Greece,Training,Share of GDP,0.18
2017,Public spending on active labour market policies,GRC,Greece,Training,Share of GDP,0.01
2018,Public spending on active labour market policies,GRC,Greece,Training,Share of GDP,0.04
2003,Public spending on active labour market policies,GRC,Greece,Training,Share of GDP,0.02
1999,Public spending on active labour market policies,GRC,Greece,Training,Share of GDP,0.12
2011,Public spending on active labour market policies,GRC,Greece,Training,Share of GDP,0.04
2012,Public spending on active labour market policies,GRC,Greece,Training,Share of GDP,0.05
2013,Public spending on active labour market policies,GRC,Greece,Training,Share of GDP,0.11
1993,Public spending on active labour market policies,GRC,Greece,Training,Share of GDP,0.03
2000,Public spending on active labour market policies,GRC,Greece,Training,Share of GDP,0.14
2002,Public spending on active labour market policies,GRC,Greece,Training,Share of GDP,0.09
1992,Public spending on active labour market policies,GRC,Greece,Training,Share of GDP,0.05
1995,Public spending on active labour market policies,GRC,Greece,Training,Share of GDP,0.2
1996,Public spending on active labour market policies,GRC,Greece,Training,Share of GDP,0.15
1997,Public spending on active labour market policies,GRC,Greece,Training,Share of GDP,0.13
1994,Public spending on active labour market policies,GRC,Greece,Training,Share of GDP,0.03
1989,Public spending on active labour market policies,GRC,Greece,Training,Share of GDP,0.04
1990,Public spending on active labour market policies,GRC,Greece,Training,Share of GDP,0.03
1986,Public spending on active labour market policies,GRC,Greece,Training,Share of GDP,0.04
1987,Public spending on active labour market policies,GRC,Greece,Training,Share of GDP,0.04
1991,Public spending on active labour market policies,GRC,Greece,Training,Share of GDP,0.06
2015,Public spending on active labour market policies,NOR,Norway,Placement and related services,Share of GDP,0.07
2016,Public spending on active labour market policies,NOR,Norway,Placement and related services,Share of GDP,0.09
2014,Public spending on active labour market policies,NOR,Norway,Placement and related services,Share of GDP,0.07
2020,Public spending on active labour market policies,NOR,Norway,Placement and related services,Share of GDP,0.1
2022,Public spending on active labour market policies,NOR,Norway,Placement and related services,Share of GDP,0.07
2021,Public spending on active labour market policies,NOR,Norway,Placement and related services,Share of GDP,0.09
2004,Public spending on active labour market policies,NOR,Norway,Placement and related services,Share of GDP,0.08
2005,Public spending on active labour market policies,NOR,Norway,Placement and related services,Share of GDP,0.08
2006,Public spending on active labour market policies,NOR,Norway,Placement and related services,Share of GDP,0.08
2001,Public spending on active labour market policies,NOR,Norway,Placement and related services,Share of GDP,0
2019,Public spending on active labour market policies,NOR,Norway,Placement and related services,Share of GDP,0.09
2007,Public spending on active labour market policies,NOR,Norway,Placement and related services,Share of GDP,0.07
2008,Public spending on active labour market policies,NOR,Norway,Placement and related services,Share of GDP,0.04
2009,Public spending on active labour market policies,NOR,Norway,Placement and related services,Share of GDP,0.05
2010,Public spending on active labour market policies,NOR,Norway,Placement and related services,Share of GDP,0.06
1998,Public spending on active labour market policies,NOR,Norway,Placement and related services,Share of GDP,0
2017,Public spending on active labour market policies,NOR,Norway,Placement and related services,Share of GDP,0.1
2018,Public spending on active labour market policies,NOR,Norway,Placement and related services,Share of GDP,0.09
2003,Public spending on active labour market policies,NOR,Norway,Placement and related services,Share of GDP,0.07
1999,Public spending on active labour market policies,NOR,Norway,Placement and related services,Share of GDP,0
2011,Public spending on active labour market policies,NOR,Norway,Placement and related services,Share of GDP,0.06
2012,Public spending on active labour market policies,NOR,Norway,Placement and related services,Share of GDP,0.06
2013,Public spending on active labour market policies,NOR,Norway,Placement and related services,Share of GDP,0.07
2000,Public spending on active labour market policies,NOR,Norway,Placement and related services,Share of GDP,0
2002,Public spending on active labour market policies,NOR,Norway,Placement and related services,Share of GDP,0
2015,Public spending on active labour market policies,NOR,Norway,Direct job creation,Share of GDP,0
2016,Public spending on active labour market policies,NOR,Norway,Direct job creation,Share of GDP,0
1988,Public spending on active labour market policies,NOR,Norway,Direct job creation,Share of GDP,0.03
2014,Public spending on active labour market policies,NOR,Norway,Direct job creation,Share of GDP,0
2020,Public spending on active labour market policies,NOR,Norway,Direct job creation,Share of GDP,0
2022,Public spending on active labour market policies,NOR,Norway,Direct job creation,Share of GDP,0
1985,Public spending on active labour market policies,NOR,Norway,Direct job creation,Share of GDP,0.2
2021,Public spending on active labour market policies,NOR,Norway,Direct job creation,Share of GDP,0
2004,Public spending on active labour market policies,NOR,Norway,Direct job creation,Share of GDP,0
2005,Public spending on active labour market policies,NOR,Norway,Direct job creation,Share of GDP,0
2006,Public spending on active labour market policies,NOR,Norway,Direct job creation,Share of GDP,0
2001,Public spending on active labour market policies,NOR,Norway,Direct job creation,Share of GDP,0.02
2019,Public spending on active labour market policies,NOR,Norway,Direct job creation,Share of GDP,0
2007,Public spending on active labour market policies,NOR,Norway,Direct job creation,Share of GDP,0
2008,Public spending on active labour market policies,NOR,Norway,Direct job creation,Share of GDP,0
2009,Public spending on active labour market policies,NOR,Norway,Direct job creation,Share of GDP,0
2010,Public spending on active labour market policies,NOR,Norway,Direct job creation,Share of GDP,0
1998,Public spending on active labour market policies,NOR,Norway,Direct job creation,Share of GDP,0.03
2017,Public spending on active labour market policies,NOR,Norway,Direct job creation,Share of GDP,0
2018,Public spending on active labour market policies,NOR,Norway,Direct job creation,Share of GDP,0
